TRACT2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
48121021725,4352,1604,0.01546,0.00686,0.08922,312100,0.02948,0.149,0.05175,0.04527,0.28332,0.00289,0.0,0.0,0.0,0.01953,0.96883,0.0,0.00994,0.00686,0.075,0.222,1,1,1.0
48479000107,2823,649,0.57424,0.10324,0.02436,80500,0.49477,0.28043,0.3359,0.11477,0.98052,0.2457,0.06329,0.0,0.17848,0.55933,0.88734,0.13405,0.01289,0.30354,0.993,0.907,4,4,1.0
48479000106,3069,790,0.12968,0.06709,0.01191,67400,0.5827,0.36329,0.17215,0.0404,1.0,0.27572,0.09617,0.0,0.13661,0.36885,0.91694,0.02658,0.0,0.43544,0.757,0.65,4,4,1.0
48439111526,4645,1741,0.16828,0.03733,0.03474,153800,0.10948,0.25503,0.0896,0.07535,0.47664,0.04447,0.01387,0.00108,0.03385,0.51228,0.93674,0.03963,0.0,0.14762,0.619,0.566,3,3,1.0
48439111529,3742,1366,0.07385,0.05124,0.06167,207900,0.04969,0.48536,0.04026,0.03394,0.29877,0.01383,0.0,0.00481,0.03463,0.21267,0.8636,0.09883,0.00458,0.10835,0.506,0.497,3,3,1.0
48027023201,1041,397,0.08069,0.0,0.07706,-1,0.02405,0.0,0.02771,0.12776,0.37656,0.00551,0.0,0.0,0.56181,1.0,0.87086,0.02015,0.0,0.02015,0.289,0.38,2,2,1.0
48027022405,2538,1245,0.10673,0.0,0.06149,117700,0.0525,0.05622,0.06827,0.07801,0.60402,0.01538,0.00378,0.0,0.05967,0.72813,0.77039,0.0,0.00138,0.01928,0.271,0.369,2,2,1.0
48029171914,5893,1633,0.07381,0.00429,0.0581,140200,0.15146,0.22964,0.12186,0.04531,0.84711,0.04106,0.0,0.00119,0.01745,0.16871,0.82972,0.01225,0.03403,0.10227,0.446,0.465,2,2,1.0
48029171918,7442,2535,0.0692,0.0,0.02469,200700,0.10286,0.08481,0.08679,0.04999,0.84332,0.01655,0.0055,0.0,0.07041,0.39237,0.25596,0.01617,0.00989,0.03195,0.197,0.323,1,1,1.0
48479980000,34,11,0.0,0.0,0.0,-1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.075,0.222,1,1,1.0
48479000601,2763,752,0.44951,0.10638,0.0853,58000,0.40451,0.31516,0.33245,0.08759,0.98806,0.27886,0.07468,0.0,0.18615,0.5266,0.93939,0.18351,0.00739,0.21809,0.997,0.925,4,4,1.0
48479000903,3020,708,0.33477,0.01271,0.08055,93800,0.33625,0.19633,0.17373,0.10397,1.0,0.20251,0.04178,0.0,0.04582,0.58046,0.79919,0.09887,0.01118,0.40254,0.929,0.788,4,4,1.0
48029181727,4066,1258,0.07444,0.00556,0.08296,143000,0.10115,0.1725,0.09698,0.06517,0.82538,0.0784,0.0,0.0,0.04116,0.23733,0.68674,0.00636,0.00977,0.10731,0.394,0.438,2,2,1.0
48029171924,8091,2908,0.11541,0.0141,0.02655,284900,0.02893,0.06809,0.10591,0.0634,0.7627,0.01267,0.0,0.0,0.04153,0.63589,0.17996,0.04195,0.00257,0.04539,0.336,0.404,2,2,1.0
48439113710,4837,1911,0.06119,0.0,0.06494,241600,0.11081,0.20722,0.08425,0.05127,0.47654,0.09654,0.01445,0.0,0.01393,0.51685,0.97781,0.02407,0.0,0.01727,0.259,0.361,2,2,1.0
48439104701,4760,1387,0.22689,0.031,0.10505,73100,0.53141,0.16871,0.19611,0.08088,0.94034,0.22971,0.0,0.0,0.0408,0.3416,0.98893,0.15789,0.0,0.26316,0.812,0.688,4,4,1.0
48029980005,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<NA>,<NA>,
48029191812,4095,1220,0.02637,0.00574,0.01774,382000,0.03628,0.12459,0.05984,0.02955,0.53284,0.0302,0.0,0.0,0.02944,0.05934,0.06842,0.01066,0.0,0.00574,0.021,0.126,1,1,1.0
48029171402,6747,1713,0.19698,0.03561,0.04279,88400,0.34208,0.24402,0.1547,0.09367,0.95954,0.19002,0.0,0.00148,0.01268,0.28514,0.82997,0.04086,0.01397,0.24168,0.856,0.723,4,4,1.0
48029171401,4512,1114,0.16426,0.00628,0.02398,96700,0.27023,0.12118,0.32675,0.05873,0.96831,0.09418,0.0,0.0,0.06308,0.41933,0.68209,0.07361,0.01228,0.19749,0.671,0.594,3,3,1.0
48029171917,10260,2646,0.03431,0.0,0.06569,180600,0.02823,0.14853,0.23432,0.05624,0.74737,0.04854,0.00509,0.0,0.03817,0.17105,0.35514,0.0189,0.02576,0.0155,0.351,0.413,2,2,1.0
48029172005,8176,2600,0.086,0.01231,0.06067,275900,0.04894,0.135,0.08,0.11448,0.72982,0.02072,0.00735,0.0,0.08964,0.30908,0.02591,0.01308,0.0,0.02885,0.25,0.356,1,1,1.0
48157672702,8738,2269,0.12325,0.00749,0.05152,207900,0.07783,0.13001,0.13398,0.10689,0.69146,0.03127,0.0,0.0,0.03978,0.29046,0.77656,0.0097,0.01588,0.00529,0.432,0.458,2,2,1.0
48157672602,7145,1915,0.18654,0.02193,0.08656,176400,0.16607,0.1201,0.16084,0.04731,0.92106,0.07977,0.00879,0.0021,0.00931,0.16017,0.69064,0.03551,0.03975,0.09034,0.609,0.56,3,3,1.0
48439113517,4460,1706,0.06166,0.00645,0.02236,274600,0.04167,0.15299,0.14889,0.06637,0.5426,0.02305,0.0,0.0,0.03561,0.66951,0.87224,0.02169,0.00835,0.02052,0.418,0.45,2,2,1.0
48029181731,7513,2271,0.08087,0.01717,0.06152,171100,0.07175,0.16336,0.15015,0.05218,0.70638,0.01783,0.0,0.00586,0.01304,0.13469,0.96914,0.00705,0.00049,0.08631,0.365,0.421,2,2,1.0
48029180102,1962,737,0.08359,0.01221,0.0144,236500,0.05434,0.33514,0.05699,0.03976,0.77829,0.05149,0.0129,0.0,0.20753,0.3002,0.99462,0.05427,0.01315,0.07463,0.499,0.493,2,2,1.0
48029180604,6523,2569,0.18709,0.00506,0.08544,156300,0.14965,0.27871,0.03737,0.06239,0.85084,0.06916,0.0,0.00521,0.05932,0.40129,1.0,0.09498,0.03233,0.13118,0.7,0.613,3,3,1.0
