BG2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
482150227061,825,284,0.12364,0.01408,0.0,133700,0.28073,0.13732,0.14085,0.1103,0.99273,0.23025,0.30986,0.0,0.0,0.11273,0.9507,0.0,0.0,0.01408,0.457,0.464,2,2,1.0
482150227062,1375,494,0.4,0.0,0.05327,107900,0.20243,0.41498,0.17814,0.05164,0.83127,0.04985,0.78771,0.0,0.44804,0.79055,0.67151,0.07895,0.0,0.0,0.774,0.648,4,4,1.0
482150227063,1507,642,0.53019,0.07321,0.02384,447000,0.00791,0.20249,0.3271,0.04711,0.70471,0.06964,0.3601,0.0,0.16839,0.86994,0.56477,0.12617,0.0,0.20093,0.885,0.734,4,4,1.0
482150228011,1217,254,0.15941,0.10236,0.07328,171900,0.57704,0.37402,0.1063,0.15776,1.0,0.19805,0.0,0.0,0.23494,0.54067,0.49699,0.07087,0.0,0.17323,0.949,0.795,4,4,1.0
482150228013,1833,328,0.19367,0.15244,0.07621,362900,0.58909,0.21341,0.07317,0.07747,1.0,0.18687,0.08937,0.0,0.20773,0.03492,0.62077,0.0,0.0,0.30488,0.64,0.565,3,3,1.0
482150228021,2498,593,0.26101,0.00337,0.01823,184400,0.22753,0.25126,0.13828,0.06005,0.91473,0.16056,0.16789,0.0,0.12666,0.10288,0.50957,0.0,0.0,0.17369,0.53,0.502,3,3,1.0
482150228022,1876,505,0.03465,0.06139,0.13672,566400,0.32201,0.20396,0.05545,0.09009,0.9984,0.11892,0.0,0.00267,0.16113,0.05238,0.69601,0.06139,0.0,0.11287,0.743,0.628,3,3,1.0
482150229001,1517,451,0.00461,0.01552,0.0,146600,0.28429,0.23282,0.03769,0.0646,0.97495,0.11346,0.0,0.0,0.11914,0.09954,0.52148,0.0,0.0,0.16186,0.276,0.365,2,2,1.0
482150229002,527,234,0.60531,0.21368,0.06667,157300,0.43849,0.44444,0.2094,0.1537,0.93738,0.26457,0.0,0.0,0.09302,0.56167,1.0,0.31197,0.0,0.32479,0.996,0.901,4,4,1.0
482150229003,813,255,0.43419,0.22745,0.07143,292600,0.31674,0.35686,0.15294,0.07134,0.98893,0.17616,0.06997,0.0,0.25656,0.54736,0.92128,0.17255,0.0,0.31765,0.983,0.857,4,4,1.0
482150229004,257,158,0.18677,0.08228,0.0,199100,0.0,0.82911,0.0,0.0,0.13619,0.02724,0.88615,0.0,0.70019,0.0,0.66224,0.07595,0.0,0.10759,0.377,0.422,2,2,1.0
482150229005,536,176,0.05597,0.0,0.20392,152500,0.04902,0.40909,0.15341,0.10261,0.80597,0.10603,0.252,0.0,0.296,0.32463,0.428,0.125,0.0,0.03977,0.794,0.662,4,4,1.0
482150230001,1275,329,0.34902,0.08207,0.0,341800,0.25687,0.29179,0.27052,0.12784,0.89098,0.02068,0.0,0.0,0.08101,0.28784,0.76816,0.02432,0.0,0.1307,0.756,0.636,4,4,1.0
482150230003,1552,499,0.31186,0.11222,0.0,148700,0.22881,0.26653,0.2004,0.0451,0.98776,0.05128,0.0,0.0,0.14408,0.44781,0.87479,0.11222,0.04874,0.14429,0.885,0.734,4,4,1.0
