BG2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
484530007001,0.33445,0.13885,0.03319,-74970,-0.16815,-359000,1310,0.00873,0.5424,29.5,0.0,0.0,0.00135,0.14536,0.27927,0.00137,0.43405,0.0,0.44851,0.0,0.12192,0.61783,1.87,0.11338,0.07941,0.10297,0.00801,0.04892
481130095002,0.05764,0.2988,0.02037,-99565,-0.49639,-625000,1888,0.02468,0.82358,49.6,0.0,0.0,0.06288,0.00961,0.11703,0.01408,0.53275,0.01446,0.42461,0.0,0.08389,0.03855,2.76,0.01446,0.02573,0.04506,0.0,0.04887
481130143131,0.06931,0.12919,0.08252,-78136,-0.2953,-793800,1254,0.01401,0.67449,31.7,0.43506,0.0,0.21726,0.20515,0.23467,0.0417,0.48827,0.02517,0.43669,0.0,0.16992,0.68792,2.22,0.0,0.08582,0.10178,0.0,0.04881
484530329001,0.07202,0.18732,0.02525,-74041,-0.20352,-850900,1445,0.03407,0.65358,44.3,0.11009,0.00792,0.01692,0.08858,0.12099,0.0,0.47929,0.04085,0.42811,0.0,0.04953,0.4662,1.96,0.01056,0.00502,0.1263,0.0,0.04876
481576730053,0.05993,0.02038,0.01397,-50930,-0.12518,-376000,1910,0.0,0.52303,38.9,0.0,0.0,0.0213,0.08717,0.7365,0.0,0.42843,0.0,0.22786,0.0,0.02415,0.73799,2.94,0.03057,0.02153,0.02243,0.0,0.0487
483396906051,0.0,0.16313,0.30769,-112808,-0.40131,-274600,1616,0.0,0.67689,44.7,1.0,0.0,0.0,0.15723,0.0794,0.0,0.51572,0.1093,0.1306,0.0,0.12178,0.43556,2.08,0.32626,0.0,0.0,0.0,0.04865
482015342043,0.14469,0.20805,0.0,-75949,-0.32886,-300500,1223,0.06878,0.51465,47.0,0.0,0.0,0.0,0.28297,0.21886,0.02289,0.35531,0.04474,0.24962,0.12955,0.09514,0.44743,2.44,0.0,0.10153,0.34609,0.08729,0.04859
482012509011,0.0064,0.21254,0.07808,-59662,-0.53484,-374800,1420,0.00276,0.64419,41.0,0.03614,0.0,0.0,0.0,0.03839,0.0,0.54724,0.0662,0.50163,0.0,0.02215,0.0,3.54,0.0,0.04421,0.06189,0.0,0.04854
481576745052,0.0,0.13304,0.02863,-30623,-0.0,-282600,2331,0.0,0.59468,28.8,0.05349,0.0,0.0,0.12069,0.04704,0.01537,0.45569,0.04053,0.54065,0.03877,0.0,0.19736,3.71,0.0,0.07448,0.0188,0.0,0.04849
481130010011,0.03409,0.23721,0.0,-81303,-0.43721,-775600,2232,0.0604,0.79735,38.6,0.0,0.0,0.0,0.0947,0.14205,0.0,0.5322,0.0186,0.49862,0.0,0.4473,0.26512,2.46,0.0186,0.03769,0.0,0.0,0.04843
482014504021,0.0,0.0,0.0,-56975,-0.04484,-396906,1235,0.0,0.46543,28.4,0.0,0.0,0.47778,0.0,0.07407,0.0,0.44198,0.0157,0.26276,0.0,0.30638,1.0,1.82,0.02915,0.0736,0.0,0.0,0.04838
484391054081,0.07506,0.26389,0.0,-75559,-0.23611,-398100,1250,0.01706,0.67967,32.5,0.30667,0.0,0.01275,0.04951,0.15454,0.0,0.36234,0.02932,0.39563,0.01526,0.23944,0.47222,2.04,0.05401,0.02717,0.04093,0.0,0.04832
484391141061,0.02964,0.11041,0.01386,-40768,-0.11168,-353600,1573,0.05185,0.53643,35.6,0.36693,0.0,0.10539,0.0,0.13627,0.00378,0.4508,0.19924,0.44132,0.0,0.0,0.05711,3.08,0.0,0.02727,0.10941,0.01895,0.04827
481576732011,0.0,0.20651,0.04946,-52381,-0.35361,-349200,2175,0.01649,0.6617,38.5,0.08511,0.01832,0.07073,0.03025,0.02429,0.00595,0.51342,0.05092,0.4087,0.0,0.0,0.04809,3.32,0.0,0.02357,0.03311,0.0,0.04821
480291317001,0.05309,0.01718,0.14741,-27371,-0.06186,-225386,2067,0.0,0.55546,21.2,0.1206,0.0,0.06387,0.04286,0.20084,0.00461,0.45798,0.07216,0.54206,0.0,0.14412,0.99656,3.95,0.00687,0.01093,0.23832,0.00935,0.04816
483396945032,0.01155,0.27008,0.03308,-52177,-0.2967,-392700,3250,0.01104,0.74341,36.6,0.01852,0.0,0.00155,0.01443,0.11744,0.00934,0.49659,0.02415,0.41909,0.04973,0.02028,0.03746,3.18,0.03253,0.03666,0.04447,0.01403,0.04811
482015534012,0.02121,0.23163,0.01697,-59376,-0.30671,-284900,2212,0.01813,0.63244,40.7,0.05381,0.01365,0.03932,0.05571,0.07264,0.00626,0.47023,0.03035,0.4143,0.02639,0.08211,0.08147,2.92,0.01597,0.04816,0.05179,0.00986,0.04805
484910207111,0.00964,0.11625,0.09946,-39932,-0.22,-313900,1879,0.03045,0.53962,35.9,0.25568,0.0,0.11195,0.12201,0.23857,0.00562,0.4457,0.06625,0.44251,0.0,0.17012,0.22875,2.98,0.0,0.0502,0.15053,0.00983,0.048
482013403012,0.02109,0.34124,0.05184,-99194,-0.46554,-444200,1696,0.01839,0.73486,54.0,0.13333,0.0,0.03858,0.1956,0.07627,0.01995,0.48228,0.02373,0.39418,0.0,0.01776,0.04633,2.52,0.0,0.00424,0.03351,0.03263,0.04794
484530322001,0.04342,0.28159,0.0,-72694,-0.34657,-672900,1404,0.0,0.71635,40.7,0.0566,0.0,0.0,0.0,0.10854,0.0,0.46889,0.01805,0.5142,0.0,0.07358,0.24188,2.49,0.01444,0.01502,0.03125,0.0,0.04789
484391115463,0.00893,0.25227,0.18592,-27261,-0.0,-170100,1568,0.0,0.48413,35.4,0.0,0.0,0.01736,0.0,0.062,0.0,0.3626,0.0,0.49446,0.0,0.12401,0.0,3.66,0.0,0.0747,0.02772,0.01774,0.04783
484530015031,0.09457,0.10072,0.06419,-61192,-0.15108,-398200,1695,0.04473,0.47495,31.8,0.45161,0.0,0.07622,0.05011,0.17643,0.0,0.42343,0.03309,0.41155,0.01241,0.13772,0.69353,2.04,0.10216,0.12928,0.15072,0.01264,0.04778
480850303041,0.02817,0.16613,0.03688,-47055,-0.32907,-472300,1661,0.04893,0.66943,36.2,0.0,0.0,0.03314,0.01823,0.03811,0.00488,0.4739,0.0,0.41441,0.0,0.13536,0.0,3.86,0.01597,0.07912,0.09009,0.0,0.04773
480850303075,0.0,0.11773,0.0,-54515,-0.45816,-648400,1796,0.21411,0.52781,40.3,0.0,0.0,0.04465,0.14794,0.25426,0.13742,0.43019,0.0,0.28317,0.0,0.0,0.05248,3.75,0.0,0.11829,0.08203,0.12268,0.04767
482015430061,0.05162,0.1728,0.07426,-45864,-0.31211,-351200,1793,0.03898,0.62064,32.3,0.08797,0.0,0.14463,0.18945,0.18584,0.02808,0.45749,0.0802,0.43006,0.0,0.0,0.02398,3.66,0.00744,0.08762,0.14707,0.01733,0.04762
482599704063,0.01676,0.29791,0.0,-61513,-0.37359,-583900,1324,0.018,0.62856,41.5,0.05283,0.0,0.0025,0.01448,0.05691,0.0067,0.48927,0.02254,0.45137,0.12985,0.07313,0.05153,3.17,0.0,0.0286,0.09102,0.01496,0.04756
484391232002,0.04798,0.0,0.07965,-43882,-0.02811,-176953,1395,0.09589,0.34228,31.6,0.0,0.0,0.11242,0.07383,0.0755,0.00839,0.33389,0.0,0.41667,0.0,0.15878,0.88755,1.59,0.0,0.12042,0.08654,0.0,0.04751
482012322022,0.02587,0.2981,0.00893,-89067,-0.5308,-384400,1190,0.02689,0.72004,42.0,0.13907,0.0,0.17159,0.06615,0.19282,0.00475,0.51111,0.10038,0.4719,0.0,0.0252,0.0,3.12,0.0,0.00742,0.07264,0.00901,0.04745
481210203183,0.0,0.18507,0.09883,-60615,-0.30171,-393600,1925,0.01571,0.60831,50.5,0.11765,0.0,0.0,0.0,0.0626,0.0,0.48199,0.0311,0.45401,0.0,0.09691,0.13841,2.81,0.0,0.0127,0.19222,0.0,0.0474
484530024373,0.03608,0.05196,0.11884,-47246,-0.0,-237400,1703,0.04664,0.36956,32.5,1.0,0.0,0.00747,0.0,0.43799,0.03608,0.31771,0.01822,0.3353,0.0,0.06968,0.82051,1.63,0.01147,0.11636,0.0,0.0274,0.04734
484530305003,0.07,0.0436,0.03162,-57395,-0.15399,-543700,1817,0.0,0.53345,34.4,0.42233,0.0,0.05361,0.02836,0.3035,0.0,0.48117,0.13451,0.5036,0.0,0.0477,0.75046,2.09,0.0,0.09599,0.02933,0.0,0.04729
