TRACT2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
48029180202,0.32772,0.40073,0.01891,-25274,-0.00774,-133100,725,0.2162,0.84739,39.6,0.71269,0.00019,0.02364,0.007,0.83132,0.1162,0.57564,0.2582,0.51025,0.01937,0.05467,0.62705,2.4,0.16712,0.19705,0.30476,0.03651,0.86608
48201520400,0.3866,0.24199,0.11303,-15960,-0.01683,-155000,862,0.32864,0.73968,33.7,0.79337,0.0,0.07882,0.0008,0.74638,0.2064,0.54182,0.25881,0.4189,0.05049,0.12482,0.86058,2.9,0.21234,0.34021,0.22988,0.2439,0.86593
48201330500,0.15444,0.44461,0.08564,-19646,-0.0,-77000,1288,0.28827,0.71241,38.1,0.24225,0.0,0.30348,0.03179,0.63574,0.12417,0.48625,0.26451,0.4014,0.09974,0.13494,0.39412,3.51,0.06104,0.32474,0.26411,0.1082,0.86579
48479001824,0.12384,0.26496,0.04952,-24427,-0.04103,-156500,1109,0.27424,0.69678,29.4,0.48208,0.00529,0.0,0.0,0.97135,0.15825,0.5249,0.23932,0.44232,0.0,0.0,0.12393,3.88,0.06496,0.381,0.13291,0.04572,0.86564
48073950600,0.08557,0.40385,0.06972,-24031,-0.02241,-144300,785,0.18443,0.91538,39.0,0.3743,0.0,0.08773,0.00017,0.32583,0.05441,0.58782,0.12461,0.66275,0.0,0.11468,0.47692,2.49,0.06768,0.15747,0.22179,0.04488,0.86549
48113021200,0.1306,0.19179,0.02106,-18735,-0.02759,-106300,1055,0.34499,0.69141,30.7,0.39179,0.0008,0.07945,0.0072,0.8315,0.22992,0.4991,0.21602,0.42845,0.01888,0.09501,0.31561,3.36,0.08008,0.3272,0.19754,0.17164,0.86535
48201552402,0.01777,0.60076,0.25581,-31155,-0.03916,-242900,1330,0.14231,0.91618,52.9,0.16364,0.0,0.02086,0.01584,0.33411,0.01193,0.54345,0.05253,0.46995,0.09378,0.10742,0.14518,2.47,0.05444,0.13171,0.05168,0.05889,0.8652
48245006100,0.41498,0.52138,0.1378,-13730,-0.00815,-38400,694,0.25321,0.80265,41.7,0.26374,0.0,0.90879,0.0,0.03234,0.0082,0.51161,0.17923,0.6484,0.0,0.3697,0.34827,2.31,0.16497,0.19983,0.28311,0.0411,0.86505
48403950100,0.23233,0.5998,0.16462,-29181,-0.10431,-110000,709,0.17059,0.87414,46.6,0.09524,0.0,0.03938,0.00771,0.01421,0.0,0.53025,0.1003,0.42962,0.42424,0.4791,0.11133,2.47,0.00702,0.17093,0.19217,0.02203,0.86491
48201332000,0.47264,0.33813,0.18433,-13618,-0.01651,-78700,789,0.27829,0.78873,23.2,0.65504,0.0,0.67637,0.00791,0.28311,0.09388,0.53664,0.34026,0.42976,0.0,0.07168,0.56922,3.35,0.19382,0.21681,0.28817,0.19045,0.86476
