TRACT2020,ALAND,AWATER,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012,C202010020,C202010030,C202010040,C202020010,C202020020,C202020031,C202020050,C202021010,C202030010,C202033010,C202033020,C202060010,C202062010,C202070010,C202070020,C202070050,C202070055,C202072010,C202081010,C202090011,C202090012,C202090021,C202090022,C202090031,C202090032,C202090091,C202090092,C202091011,C202091012,C202092023,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021,SETX,FIPSCNTY,airsite_tract,airsite_name
48113020000,6859494,67579,0.01443,0.10308,0.01655,-59268.0,-0.34055,-480600.0,1888.0,0.0138,0.60918,38.4,0.0942,0.0,0.07198,0.43037,0.09335,0.02758,0.51359,0.05638,0.45115,0.05323,0.00566,0.25456,3.04,0.01025,0.05436,0.06586,0.0,4.938,5335.0,1756.0,1766.0,0.049,0.017,0.129,0.054,0.014,0.047,0.056,0.318,0.626,0.028,0.053,0.0,0.033,0.009,0.01,0.04,0.1688,12.47,0.1235,0.1035,0.1802,0.1318,1.0,0.0,1.0,1.0,1.0,5335.0,1756.0,0.01443,0.01025,0.01655,480600.0,0.0138,0.08087,0.05638,0.04855,0.62587,0.02758,0.05323,0.0,0.00566,0.23149,0.69026,0.01025,0.0,0.01822,4.0,0.172,1.0,1.0,1.0,0.0,48113,0.0,
48069950300,1133321682,6416461,0.19613,0.28158,0.03805,-18014.0,-0.00609,-56100.0,769.0,0.3265,0.62109,30.0,0.325,0.01151,0.01565,0.00414,0.70396,0.18039,0.43324,0.14916,0.32857,0.14591,0.22064,0.40335,3.31,0.04262,0.32505,0.14835,0.03187,75.209,2172.0,657.0,843.0,0.473,0.038,0.145,0.325,0.326,0.094,0.094,0.349,0.738,0.18,0.146,0.0,0.009,0.07,0.043,0.07,0.7877,71.32,0.7654,0.7118,0.7844,0.7071,5.0,2.0,4.0,3.0,0.0,2172.0,657.0,0.19613,0.05479,0.03805,56100.0,0.3265,0.18874,0.13851,0.09392,0.73803,0.18039,0.14591,0.0,0.22064,0.38674,0.96323,0.04262,0.0,0.23592,80.2,0.681,4.0,4.0,1.0,0.0,48069,0.0,
48069950200,99132670,928069,0.10163,0.30088,0.00536,-22921.0,-0.01906,-84800.0,733.0,0.22386,0.81622,36.3,0.39208,0.00728,0.01044,0.00995,0.72348,0.05972,0.54431,0.18584,0.44341,0.0384,0.18253,0.50783,2.75,0.11368,0.21464,0.24792,0.02352,82.02199999999999,4119.0,1469.0,1797.0,0.149,0.005,0.278,0.215,0.224,0.195,0.125,0.267,0.759,0.06,0.038,0.018,0.105,0.037,0.114,0.129,0.9125,80.24,0.9082,0.8073,0.923,0.8153,1.0,0.0,4.0,4.0,1.0,4119.0,1469.0,0.10163,0.04357,0.00536,84800.0,0.22386,0.30701,0.13479,0.0772,0.75892,0.05972,0.0384,0.01821,0.18253,0.48541,0.97218,0.11368,0.01356,0.2226,92.10000000000001,0.779,4.0,4.0,1.0,0.0,48069,0.0,
48069950100,1084146041,5212884,0.0387,0.35963,0.01142,-36453.0,-0.10673,-109100.0,557.0,0.19747,0.64882,42.1,0.1381,0.0,0.0,0.0,0.30787,0.03333,0.45512,0.06265,0.37954,0.23006,0.20037,0.12065,2.95,0.0,0.10945,0.09571,0.02475,48.484,1270.0,431.0,539.0,0.099,0.011,0.079,0.109,0.197,0.162,0.002,0.261,0.354,0.033,0.23,0.0,0.0,0.028,0.0,0.095,0.2853,17.27,0.2585,0.1755,0.2755,0.1652,1.0,0.0,2.0,1.0,0.0,1270.0,431.0,0.0387,0.00696,0.01142,109100.0,0.19747,0.23666,0.06729,0.0315,0.35433,0.03333,0.23006,0.0,0.20037,0.11654,0.80705,0.0,0.01528,0.21578,27.800000000000004,0.373,2.0,2.0,1.0,0.0,48069,0.0,
48071710300,210185745,28480176,0.16487,0.47964,0.04123,-31689.0,-0.05263,-165800.0,1114.0,0.07593,0.7598,40.7,0.5604,0.00192,0.11145,0.00231,0.06995,0.00454,0.50692,0.15392,0.51855,0.24475,0.33924,0.15194,2.58,0.00199,0.03113,0.12226,0.1231,51.15,2602.0,1007.0,1524.0,0.191,0.041,0.15,0.031,0.076,0.185,0.072,0.244,0.186,0.005,0.245,0.0,0.0,0.024,0.002,0.184,0.3585,24.84,0.368,0.2807,0.3469,0.2346,1.0,0.0,2.0,1.0,0.0,2602.0,1007.0,0.16487,0.00199,0.04123,165800.0,0.07593,0.27805,0.16584,0.06802,0.18563,0.00454,0.24475,0.0,0.33924,0.24289,0.73688,0.00199,0.0,0.11619,34.8,0.411,2.0,2.0,1.0,0.0,48071,0.0,
48071710401,378748507,4396725,0.21097,0.44648,0.11063,-23476.0,-0.032,-135200.0,580.0,0.14589,0.71972,39.9,0.27937,0.00088,0.04032,0.00722,0.15211,0.01907,0.46725,0.10336,0.40325,0.29779,0.17382,0.25184,2.92,0.05247,0.21415,0.17154,0.13211,65.40700000000001,5680.0,1906.0,2307.0,0.32,0.111,0.282,0.214,0.146,0.176,0.004,0.235,0.219,0.019,0.298,0.019,0.0,0.13,0.052,0.18,0.8373,70.34,0.8761,0.7824,0.8658,0.7358,3.0,3.0,4.0,3.0,0.0,5680.0,1906.0,0.21097,0.0063,0.11011,135200.0,0.14589,0.3043,0.11228,0.07694,0.21901,0.01907,0.29779,0.01866,0.17382,0.27036,0.76203,0.05247,0.00485,0.13903,75.9,0.651,4.0,4.0,1.0,0.0,48071,0.0,
48071710500,644471249,32908192,0.22769,0.37802,0.05728,-25549.0,-0.02657,-118600.0,837.0,0.32566,0.71264,36.2,0.48448,0.00203,0.09745,0.00452,0.35428,0.11454,0.46462,0.12077,0.30564,0.22438,0.19573,0.26389,2.58,0.02114,0.16538,0.11779,0.13453,77.23100000000001,4423.0,1656.0,2059.0,0.359,0.057,0.217,0.165,0.326,0.178,0.124,0.237,0.465,0.115,0.224,0.035,0.039,0.031,0.021,0.181,0.9406,83.26,0.9521,0.8742,0.9555,0.8603,2.0,1.0,4.0,4.0,1.0,4423.0,1656.0,0.22769,0.05978,0.05728,118600.0,0.32566,0.29046,0.16969,0.07031,0.4653,0.11454,0.22438,0.03482,0.19573,0.25767,0.60855,0.02114,0.0,0.2506,79.9,0.679,4.0,4.0,1.0,0.0,48071,0.0,
48071710600,5559116,594252785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,48071,0.0,
48071710100,119233403,9636325,0.07515,0.23375,0.03699,-46464.0,-0.14727,-264200.0,1126.0,0.05886,0.69112,36.3,0.27483,0.00294,0.06091,0.012,0.13145,0.0,0.47249,0.06404,0.35297,0.07884,0.06362,0.11508,2.87,0.05592,0.10166,0.06103,0.06032,22.314999999999998,8832.0,3076.0,3285.0,0.112,0.037,0.141,0.102,0.059,0.136,0.084,0.276,0.227,0.0,0.079,0.0,0.045,0.009,0.056,0.082,0.3187,23.799999999999997,0.317,0.2663,0.3923,0.2925,0.0,0.0,2.0,1.0,0.0,8832.0,3076.0,0.07515,0.00878,0.03667,264200.0,0.05886,0.20449,0.10436,0.08299,0.22724,0.0,0.07884,0.0,0.06362,0.11572,0.44658,0.05592,0.0,0.11313,25.2,0.357,2.0,2.0,1.0,0.0,48071,0.0,
48081950200,1458837931,30660800,0.16843,0.47921,0.03399,-29098.0,-0.08199,-66100.0,504.0,0.1678,0.86639,51.0,0.24757,0.02392,0.00175,0.0,0.21762,0.01214,0.53501,0.04965,0.46549,0.30133,0.39313,0.33025,1.97,0.00462,0.10268,0.18809,0.03654,80.029,1714.0,866.0,1427.0,0.317,0.034,0.126,0.103,0.168,0.293,0.022,0.195,0.251,0.012,0.301,0.004,0.009,0.015,0.005,0.205,0.6066,43.230000000000004,0.6191,0.4733,0.6039,0.426,2.0,3.0,3.0,2.0,0.0,1714.0,866.0,0.16843,0.12587,0.03399,66100.0,0.1678,0.4157,0.05889,0.03851,0.25146,0.01214,0.30133,0.00408,0.39313,0.3181,0.97758,0.00462,0.0,0.26328,54.400000000000006,0.519,3.0,3.0,1.0,0.0,48081,0.0,
48081950100,902315267,11671032,0.0742,0.35441,0.01114,-24799.0,-0.01054,-82100.0,714.0,0.1687,0.81566,43.3,0.40314,0.00253,0.02146,0.0,0.22348,0.02668,0.49874,0.1278,0.50141,0.19127,0.39762,0.33465,1.97,0.03162,0.12726,0.16479,0.14366,68.821,1584.0,759.0,1260.0,0.17,0.011,0.113,0.127,0.169,0.263,0.101,0.234,0.256,0.027,0.191,0.057,0.0,0.0,0.032,0.146,0.6036,42.54,0.6148,0.4657,0.6015,0.4177,1.0,2.0,3.0,2.0,0.0,1584.0,759.0,0.0742,0.04875,0.01114,82100.0,0.1687,0.30303,0.10145,0.05366,0.25631,0.02668,0.19127,0.05745,0.39762,0.35968,0.93175,0.03162,0.0,0.16206,59.0,0.547,3.0,3.0,1.0,0.0,48081,0.0,
